NUMBER,PLAYER,,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
50,Aaron Gordon,Aaron Gordon,PF,8-Jun,235,9/16/95,US,6,Arizona
3,Aaron Holiday,Aaron Holiday,PG,Jun-00,185,9/30/96,US,2,UCLA
26,Aaron Nesmith,Aaron Nesmith,SF,5-Jun,215,10/16/99,US,R,Vanderbilt
11,Abdel Nader,Abdel Nader,SF,5-Jun,225,9/25/93,EG,3,"Northern Illinois, Iowa State"
20,Adam Mokoka,Adam Mokoka,SG,4-Jun,190,7/18/98,FR,1,
5,Al-Farouq Aminu,Al-Farouq Aminu,PF,8-Jun,220,9/21/90,US,10,Wake Forest
18,Alec Burks,Alec Burks,SG,6-Jun,214,7/20/91,US,9,Colorado
17,Aleksej Pokusevski,Aleksej Pokusevski,PF,Jul-00,190,12/26/01,RS,R,
6,Alen Smailagic,Alen Smailagic,PF,10-Jun,215,8/18/00,RS,1,
4,Alex Caruso,Alex Caruso,PG,4-Jun,186,2/28/94,US,3,Texas A&M
27,Alex Len,Alex Len,C,Jul-00,250,6/16/93,UA,7,Maryland
28,Alfonzo McKinnie,Alfonzo McKinnie,SF,7-Jun,215,9/17/92,US,3,Green Bay
24,Alize Johnson,Alize Johnson,PF,7-Jun,212,4/22/96,US,2,Missouri State
37,Amida Brimah,Amida Brimah,C,10-Jun,230,2/11/94,GH,R,UConn
7,Amir Coffey,Amir Coffey,SG,7-Jun,210,6/17/97,US,1,Minnesota
2,Andre Drummond,Andre Drummond,C,10-Jun,279,8/10/93,US,8,UConn
28,Andre Iguodala,Andre Iguodala,SF,6-Jun,215,1/28/84,US,16,Arizona
22,Andrew Wiggins,Andrew Wiggins,PF,7-Jun,197,2/23/95,CA,6,Kansas
1,Anfernee Simons,Anfernee Simons,SG,3-Jun,181,6/8/99,US,2,
3,Anthony Davis,Anthony Davis,PF,10-Jun,253,3/11/93,US,8,Kentucky
1,Anthony Edwards,Anthony Edwards,SG,4-Jun,225,8/5/01,US,R,Georgia
16,Anthony Gill,Anthony Gill,PF,7-Jun,230,10/17/92,US,R,"South Carolina, Virginia"
33,Anthony Lamb,Anthony Lamb,SF,6-Jun,227,1/20/98,US,R,University of Vermont
43,Anthony Tolliver,Anthony Tolliver,PF,8-Jun,240,6/1/85,US,12,Creighton
7,Armoni Brooks,Armoni Brooks,SG,3-Jun,195,6/5/98,US,R,Houston
46,Aron Baynes,Aron Baynes,C,10-Jun,260,12/9/86,NZ,8,Washington State
25,Austin Rivers,Austin Rivers,SG,4-Jun,200,8/1/92,US,8,Duke
9,Avery Bradley,Avery Bradley,SG,3-Jun,180,11/26/90,US,10,Texas
66,Axel Toupane,Axel Toupane,SF,7-Jun,197,7/23/92,FR,2,
13,Bam Adebayo,Bam Adebayo,C,9-Jun,255,7/18/97,US,3,Kentucky
7,Ben McLemore,Ben McLemore,SG,3-Jun,195,2/11/93,US,7,Kansas
25,Ben Simmons,Ben Simmons,PG,11-Jun,240,7/20/96,AU,3,LSU
2,Blake Griffin,Blake Griffin,PF,9-Jun,250,3/16/89,US,10,Oklahoma
51,Boban Marjanovic,Boban Marjanovic,C,4-Jul,290,8/15/88,RS,5,
9,Bobby Portis,Bobby Portis,C,10-Jun,250,2/10/95,US,5,Arkansas
13,Bogdan Bogdanović,Bogdan Bogdanović,SG,6-Jun,220,8/18/92,RS,3,
44,Bojan Bogdanovic,Bojan Bogdanovic,SF,7-Jun,226,4/18/89,BA,6,
10,Bol Bol,Bol Bol,PF,2-Jul,220,11/16/99,SD,1,Oregon
3,Bradley Beal,Bradley Beal,SG,3-Jun,207,6/28/93,US,8,Florida
15,Brandon Clarke,Brandon Clarke,PF,8-Jun,215,9/19/96,CA,1,"San Jose State, Gonzaga"
0,Brandon Goodwin,Brandon Goodwin,PG,Jun-00,180,10/2/95,US,2,"Central Florida, Florida Gulf Coast"
14,Brandon Ingram,Brandon Ingram,SF,8-Jun,190,9/2/97,US,4,Duke
33,Brodric Thomas,Brodric Thomas,SG,5-Jun,185,1/28/97,US,R,Truman State University
11,Brook Lopez,Brook Lopez,C,Jul-00,282,4/1/88,US,12,Stanford
1,Bruce Brown,Bruce Brown,PG,4-Jun,202,8/15/96,US,2,Miami (FL)
24,Bruno Fernando,Bruno Fernando,C,9-Jun,240,8/15/98,AO,1,Maryland
7,Bryn Forbes,Bryn Forbes,SG,2-Jun,205,7/23/93,US,4,Michigan State
24,Buddy Hield,Buddy Hield,SG,4-Jun,220,12/17/92,BS,4,Oklahoma
,Caleb Homesley,Caleb Homesley,G,6-Jun,205,11/27/96,US,R,Liberty
22,Cam Reddish,Cam Reddish,SF,8-Jun,218,9/1/99,US,1,Duke
